Date,Price,Open,High,Low,Vol.,Change %,Change(2),,,,,
1/9/2024,52.95,52.52,53.18,52.35,4.93M,0.47%,0.5%,,,,,
1/10/2024,52.73,52.78,52.93,52.42,4.50M,-0.42%,0.4%,,,,,
1/11/2024,52.73,52.49,52.81,52.21,6.66M,0.00%,0.0%,,,,,
1/12/2024,54.85,55,55.28,54.06,8.42M,4.02%,4.0%,,,,,
1/16/2024,55.39,55,55.47,54.58,7.34M,0.98%,1.0%,,,,,
1/17/2024,54.86,54.84,55.31,54.62,5.55M,-0.96%,1.0%,,,,,
1/18/2024,54.64,54.85,54.98,53.99,3.68M,-0.40%,0.4%,,,,,
1/19/2024,55.04,54.53,55.19,54.28,7.17M,0.73%,0.7%,,,,,
1/22/2024,54.83,55.11,55.56,54.74,5.68M,-0.38%,0.4%,,,,,
1/23/2024,54.81,54.6,55.01,54.5,3.23M,-0.04%,0.0%,,,,,
1/24/2024,54.91,54.95,55.31,54.72,3.88M,0.18%,0.2%,,,,,
1/25/2024,55.34,55.14,55.56,54.86,5.02M,0.78%,0.8%,,,,,
1/26/2024,55.33,55.46,55.83,55.13,3.12M,-0.02%,0.0%,,,,,
1/29/2024,55.9,55.16,55.94,55.14,5.42M,1.03%,1.0%,,,,,
1/30/2024,56.04,56.16,56.25,55.72,3.82M,0.25%,0.3%,,,,,
1/31/2024,55.46,55.88,56.42,55.45,3.99M,-1.03%,1.0%,,,,,
2/1/2024,55.5,55.5,55.83,54.68,3.59M,0.07%,0.1%,,,,,
2/2/2024,55.63,55.49,56.13,55.43,4.15M,0.23%,0.2%,,,,,
2/5/2024,55.01,55.27,55.37,54.78,4.35M,-1.11%,1.1%,,,,,
2/6/2024,55.06,54.9,55.33,54.88,3.84M,0.09%,0.1%,,,,,
2/7/2024,55.27,55.13,55.45,54.66,3.39M,0.38%,0.4%,,,,,
2/8/2024,55.11,55.07,55.4,54.67,2.90M,-0.29%,0.3%,,,,,
2/9/2024,55.22,55.01,55.36,54.83,2.63M,0.20%,0.2%,,,,,
2/12/2024,55.62,55.12,56.05,55.03,4.40M,0.72%,0.7%,,,,,
2/13/2024,53.89,55.01,55.14,53.4,3.89M,-3.11%,3.1%,,,,,
2/14/2024,54.48,54.39,54.61,54.19,3.62M,1.09%,1.1%,,,,,
2/15/2024,55.29,54.79,55.42,54.72,3.64M,1.49%,1.5%,,,,,
2/16/2024,55.15,55.21,55.69,54.78,3.06M,-0.25%,0.3%,,,,,
2/20/2024,54.87,54.04,55.19,54.03,4.87M,-0.51%,0.5%,,,,,
2/21/2024,55.12,54.97,55.3,54.63,3.15M,0.46%,0.5%,,,,,
2/22/2024,55.36,55.31,55.63,55.04,3.04M,0.44%,0.4%,,,,,
2/23/2024,55.64,55.6,56.06,55.33,3.75M,0.51%,0.5%,,,,,
2/26/2024,55.28,55.33,56.18,55.19,3.68M,-0.65%,0.7%,,,,,
2/27/2024,55.55,55.3,55.59,55.17,2.53M,0.49%,0.5%,,,,,
2/28/2024,55.64,55.54,56.1,55.38,3.19M,0.16%,0.2%,,,,,
2/29/2024,56.09,55.89,56.25,55.63,7.16M,0.81%,0.8%,,,,,
3/1/2024,55.49,55.94,56.2,55.27,2.83M,-1.07%,1.1%,,,,,
3/4/2024,55.49,55.16,56.21,55.16,3.89M,0.00%,0.0%,,,,,
3/5/2024,55.89,55.4,56.36,55.34,3.95M,0.72%,0.7%,,,,,
3/6/2024,55.78,55.82,55.94,55,4.47M,-0.20%,0.2%,,,,,
3/7/2024,55.73,55.88,56.11,55.49,2.75M,-0.09%,0.1%,,,,,
3/8/2024,55.47,55.78,56.16,55.42,3.29M,-0.47%,0.5%,,,,,
3/11/2024,55.61,55.04,55.88,54.88,3.01M,0.25%,0.3%,,,,,
3/12/2024,55.12,55.75,55.82,54.95,3.22M,-0.88%,0.9%,,,,,
3/13/2024,55.28,55.24,55.57,55.04,4.52M,0.29%,0.3%,,,,,
3/14/2024,54.45,55.05,55.28,54.22,5.19M,-1.50%,1.5%,,,,,
3/15/2024,54.41,53.92,54.65,53.87,8.97M,-0.07%,0.1%,,,,,
3/18/2024,54.94,54.57,54.95,54.21,3.18M,0.97%,1.0%,,,,,
3/19/2024,55.24,54.99,55.29,54.87,3.59M,0.55%,0.6%,,,,,
3/20/2024,56.15,55.14,56.22,54.95,2.35M,1.65%,1.7%,,,,,
3/21/2024,57.28,56.49,57.35,56.39,3.45M,2.01%,2.0%,,,,,
3/22/2024,56.47,57.29,57.45,56.4,2.77M,-1.41%,1.4%,,,,,
3/25/2024,56.54,56.56,57.08,56.42,2.86M,0.12%,0.1%,,,,,
3/26/2024,56.61,56.6,56.99,56.47,2.61M,0.12%,0.1%,,,,,
3/27/2024,56.93,56.9,57.23,56.46,3.02M,0.57%,0.6%,,,,,
3/28/2024,57.62,57.11,57.88,57.05,3.12M,1.21%,1.2%,,,,,
4/1/2024,56.96,57.46,57.51,56.76,2.45M,-1.15%,1.2%,,,,,
4/2/2024,57.05,56.98,57.34,56.85,2.77M,0.16%,0.2%,,,,,
4/3/2024,57.66,57,57.72,56.99,3.29M,1.07%,1.1%,,,,,
4/4/2024,56.77,58,58.28,56.69,2.47M,-1.54%,1.5%,,,,,
4/5/2024,56.74,56.64,56.96,56.07,3.67M,-0.05%,0.1%,,,,,
4/8/2024,57.02,56.97,57.33,56.69,3.56M,0.49%,0.5%,,,,,
4/9/2024,57.2,57.24,57.42,56.36,2.76M,0.32%,0.3%,,,,,
4/10/2024,55.68,56.5,56.72,55.52,3.43M,-2.66%,2.7%,,,,,
4/11/2024,55.37,55.59,55.72,54.67,3.40M,-0.56%,0.6%,,,,,
4/12/2024,55.05,55.21,55.98,54.65,4.93M,-0.58%,0.6%,,,,,
4/15/2024,55.09,55.81,56.07,54.57,6.13M,0.07%,0.1%,,,,,
4/16/2024,54,55.37,55.69,52.64,8.23M,-1.98%,2.0%,,,,,
4/17/2024,54.46,54.14,54.98,54.08,4.51M,0.85%,0.9%,,,,,
