Time,Open,High,Low,Latest,Change,%Change,Volume
5/15/25 23:59,100.66,100.67,100.66,100.67,0.01,0.01%,0
5/15/25 23:58,100.65,100.66,100.65,100.66,0.01,0.01%,0
5/15/25 23:57,100.65,100.65,100.64,100.65,0,0.00%,0
5/15/25 23:56,100.65,100.65,100.65,100.65,0,0.00%,0
5/15/25 23:55,100.67,100.67,100.65,100.65,-0.01,-0.01%,0
5/15/25 23:54,100.67,100.67,100.66,100.66,0,0.00%,0
5/15/25 23:53,100.66,100.67,100.66,100.66,0,0.00%,0
5/15/25 23:52,100.66,100.67,100.66,100.66,-0.01,-0.01%,0
5/15/25 23:51,100.66,100.67,100.66,100.67,0,0.00%,0
5/15/25 23:50,100.66,100.67,100.66,100.67,0.01,0.01%,0
5/15/25 23:49,100.66,100.66,100.65,100.66,0,0.00%,0
5/15/25 23:48,100.66,100.66,100.66,100.66,0,0.00%,0
5/15/25 23:47,100.65,100.66,100.65,100.66,0.01,0.01%,0
5/15/25 23:46,100.66,100.66,100.65,100.65,-0.01,-0.01%,0
5/15/25 23:45,100.66,100.66,100.65,100.66,0,0.00%,0
5/15/25 23:44,100.66,100.66,100.66,100.66,0,0.00%,0
5/15/25 23:43,100.65,100.66,100.65,100.66,0.01,0.01%,0
5/15/25 23:42,100.65,100.65,100.65,100.65,0,0.00%,0
5/15/25 23:41,100.65,100.65,100.65,100.65,0,0.00%,0
5/15/25 23:40,100.65,100.65,100.65,100.65,0,0.00%,0
5/15/25 23:39,100.64,100.65,100.64,100.65,0.01,0.01%,0
5/15/25 23:38,100.64,100.65,100.64,100.64,0,0.00%,0
5/15/25 23:37,100.64,100.64,100.63,100.64,0,0.00%,0
5/15/25 23:36,100.64,100.65,100.64,100.64,0,0.00%,0
5/15/25 23:35,100.64,100.64,100.64,100.64,0,0.00%,0
5/15/25 23:34,100.64,100.64,100.64,100.64,0,0.00%,0
5/15/25 23:33,100.64,100.65,100.64,100.64,0,0.00%,0
5/15/25 23:32,100.66,100.66,100.64,100.64,-0.02,-0.02%,0
5/15/25 23:31,100.66,100.66,100.66,100.66,0,0.00%,0
5/15/25 23:30,100.66,100.67,100.66,100.66,0,0.00%,0
5/15/25 23:29,100.66,100.67,100.65,100.66,0,0.00%,0
5/15/25 23:28,100.66,100.67,100.65,100.66,0,0.00%,0
5/15/25 23:27,100.67,100.67,100.66,100.66,-0.01,-0.01%,0
5/15/25 23:26,100.67,100.67,100.67,100.67,0,0.00%,0
5/15/25 23:25,100.67,100.67,100.66,100.67,0,0.00%,0
5/15/25 23:24,100.68,100.68,100.67,100.67,-0.01,-0.01%,0
5/15/25 23:23,100.68,100.68,100.68,100.68,0,0.00%,0
5/15/25 23:22,100.68,100.68,100.67,100.68,0,0.00%,0
5/15/25 23:21,100.68,100.68,100.68,100.68,0,0.00%,0
5/15/25 23:20,100.68,100.69,100.68,100.68,0,0.00%,0
5/15/25 23:19,100.68,100.68,100.68,100.68,0,0.00%,0
5/15/25 23:18,100.67,100.68,100.67,100.68,0.01,0.01%,0
5/15/25 23:17,100.68,100.68,100.66,100.67,-0.01,-0.01%,0
5/15/25 23:16,100.68,100.69,100.67,100.68,0,0.00%,0
5/15/25 23:15,100.68,100.69,100.68,100.68,-0.01,-0.01%,0
5/15/25 23:14,100.69,100.7,100.69,100.69,0,0.00%,0
5/15/25 23:13,100.69,100.69,100.69,100.69,0,0.00%,0
5/15/25 23:12,100.69,100.69,100.69,100.69,0,0.00%,0
5/15/25 23:11,100.68,100.69,100.68,100.69,0.01,0.01%,0
5/15/25 23:10,100.68,100.68,100.68,100.68,0,0.00%,0
5/15/25 23:09,100.69,100.69,100.68,100.68,-0.01,-0.01%,0
5/15/25 23:08,100.68,100.69,100.68,100.69,0.01,0.01%,0
5/15/25 23:07,100.67,100.68,100.67,100.68,0,0.00%,0
5/15/25 23:06,100.68,100.68,100.68,100.68,0,0.00%,0
5/15/25 23:05,100.68,100.68,100.68,100.68,0,0.00%,0
5/15/25 23:04,100.68,100.68,100.67,100.68,0,0.00%,0
