Time,Open,High,Low,Latest,Change,%Change,Volume
9/11/25 23:59,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:58,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:57,97.64,97.65,97.64,97.64,0,0.00%,0
9/11/25 23:56,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:55,97.64,97.65,97.64,97.64,0,0.00%,0
9/11/25 23:54,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:53,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:52,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:51,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:50,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:49,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:48,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:47,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:46,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:45,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:44,97.63,97.64,97.63,97.64,0.01,0.01%,0
9/11/25 23:43,97.63,97.63,97.63,97.63,0,0.00%,0
9/11/25 23:42,97.63,97.63,97.63,97.63,0,0.00%,0
9/11/25 23:41,97.63,97.64,97.63,97.63,0,0.00%,0
9/11/25 23:40,97.62,97.63,97.62,97.63,0.01,0.01%,0
9/11/25 23:39,97.62,97.63,97.62,97.62,0,0.00%,0
9/11/25 23:38,97.62,97.63,97.62,97.62,-0.01,-0.01%,0
9/11/25 23:37,97.63,97.63,97.62,97.63,0,0.00%,0
9/11/25 23:36,97.63,97.63,97.63,97.63,0,0.00%,0
9/11/25 23:35,97.63,97.63,97.63,97.63,0,0.00%,0
9/11/25 23:34,97.64,97.64,97.63,97.63,-0.01,-0.01%,0
9/11/25 23:33,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:32,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:31,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:30,97.64,97.65,97.64,97.64,0,0.00%,0
9/11/25 23:29,97.65,97.65,97.64,97.64,-0.01,-0.01%,0
9/11/25 23:28,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:27,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:26,97.65,97.65,97.64,97.65,0,0.00%,0
9/11/25 23:25,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:24,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:23,97.64,97.65,97.64,97.65,0.01,0.01%,0
9/11/25 23:22,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:21,97.65,97.65,97.64,97.64,-0.01,-0.01%,0
9/11/25 23:20,97.64,97.65,97.64,97.65,0.01,0.01%,0
9/11/25 23:19,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:18,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:17,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:16,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:15,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:14,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:13,97.65,97.65,97.64,97.64,-0.01,-0.01%,0
9/11/25 23:12,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:11,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:10,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:09,97.65,97.65,97.65,97.65,0,0.00%,0
9/11/25 23:08,97.64,97.65,97.64,97.65,0.01,0.01%,0
9/11/25 23:07,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:06,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:05,97.63,97.64,97.63,97.64,0.01,0.01%,0
9/11/25 23:04,97.64,97.64,97.63,97.63,-0.01,-0.01%,0
9/11/25 23:03,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:02,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:01,97.64,97.64,97.64,97.64,0,0.00%,0
9/11/25 23:00,97.63,97.64,97.63,97.64,0.02,0.02%,0
9/11/25 22:59,97.62,97.62,97.62,97.62,0,0.00%,0
9/11/25 22:58,97.62,97.62,97.62,97.62,0,0.00%,0
9/11/25 22:57,97.62,97.63,97.62,97.62,0,0.00%,0
9/11/25 22:56,97.62,97.62,97.62,97.62,0,0.00%,0
9/11/25 22:55,97.63,97.63,97.62,97.62,-0.01,-0.01%,0
9/11/25 22:54,97.63,97.63,97.63,97.63,0,0.00%,0
