Time,Open,High,Low,Latest,Change,%Change,Volume
6/24/25 23:59,97.97,97.97,97.97,97.97,0,0.00%,0
6/24/25 23:58,97.97,97.97,97.97,97.97,0,0.00%,0
6/24/25 23:57,97.97,97.97,97.97,97.97,0,0.00%,0
6/24/25 23:56,97.97,97.97,97.97,97.97,0,0.00%,0
6/24/25 23:55,97.96,97.97,97.96,97.97,0.01,0.01%,0
6/24/25 23:54,97.95,97.96,97.95,97.96,0.01,0.01%,0
6/24/25 23:53,97.95,97.96,97.95,97.95,0,0.00%,0
6/24/25 23:52,97.95,97.95,97.95,97.95,0,0.00%,0
6/24/25 23:51,97.95,97.95,97.94,97.95,0,0.00%,0
6/24/25 23:50,97.94,97.95,97.94,97.95,0.01,0.01%,0
6/24/25 23:49,97.93,97.94,97.93,97.94,0.01,0.01%,0
6/24/25 23:48,97.92,97.93,97.92,97.93,0.01,0.01%,0
6/24/25 23:47,97.92,97.92,97.92,97.92,0.01,0.01%,0
6/24/25 23:46,97.91,97.91,97.9,97.91,0,0.00%,0
6/24/25 23:45,97.9,97.91,97.9,97.91,0.01,0.01%,0
6/24/25 23:44,97.9,97.9,97.9,97.9,0,0.00%,0
6/24/25 23:43,97.91,97.91,97.9,97.9,-0.01,-0.01%,0
6/24/25 23:42,97.91,97.91,97.91,97.91,0,0.00%,0
6/24/25 23:41,97.91,97.91,97.91,97.91,0,0.00%,0
6/24/25 23:40,97.91,97.91,97.91,97.91,0,0.00%,0
6/24/25 23:39,97.91,97.91,97.9,97.91,0,0.00%,0
6/24/25 23:38,97.9,97.91,97.9,97.91,0.01,0.01%,0
6/24/25 23:37,97.91,97.91,97.9,97.9,-0.01,-0.01%,0
6/24/25 23:36,97.91,97.91,97.91,97.91,0,0.00%,0
6/24/25 23:35,97.91,97.91,97.91,97.91,0,0.00%,0
6/24/25 23:34,97.91,97.91,97.9,97.91,0,0.00%,0
6/24/25 23:33,97.9,97.91,97.9,97.91,0.01,0.01%,0
6/24/25 23:32,97.9,97.9,97.9,97.9,0,0.00%,0
6/24/25 23:31,97.89,97.9,97.89,97.9,0.01,0.01%,0
6/24/25 23:30,97.89,97.89,97.89,97.89,0,0.00%,0
6/24/25 23:29,97.89,97.89,97.89,97.89,0,0.00%,0
6/24/25 23:28,97.89,97.89,97.88,97.89,0,0.00%,0
