Time,Open,High,Low,Latest,Change,%Change,Volume
4/6/25 23:59,102.94,102.94,102.93,102.94,0,0.00%,0
4/6/25 23:58,102.94,102.94,102.94,102.94,0,0.00%,0
4/6/25 23:57,102.93,102.94,102.93,102.94,0.01,0.01%,0
4/6/25 23:56,102.94,102.94,102.93,102.93,-0.01,-0.01%,0
4/6/25 23:55,102.92,102.94,102.92,102.94,0.02,0.02%,0
4/6/25 23:54,102.92,102.92,102.91,102.92,0,0.00%,0
4/6/25 23:53,102.94,102.94,102.91,102.92,-0.02,-0.02%,0
4/6/25 23:52,102.94,102.95,102.94,102.94,0,0.00%,0
4/6/25 23:51,102.94,102.94,102.94,102.94,0,0.00%,0
4/6/25 23:50,102.94,102.94,102.94,102.94,0,0.00%,0
4/6/25 23:49,102.94,102.94,102.94,102.94,0,0.00%,0
4/6/25 23:48,102.94,102.94,102.93,102.94,0,0.00%,0
4/6/25 23:47,102.96,102.96,102.94,102.94,-0.02,-0.02%,0
4/6/25 23:46,102.96,102.96,102.95,102.96,-0.01,-0.01%,0
4/6/25 23:45,102.99,102.99,102.97,102.97,-0.01,-0.01%,0
4/6/25 23:44,103,103,102.98,102.98,-0.02,-0.02%,0
4/6/25 23:43,103,103,102.99,103,0,0.00%,0
4/6/25 23:42,103,103,103,103,0,0.00%,0
4/6/25 23:41,102.99,103,102.99,103,0.01,0.01%,0
4/6/25 23:40,103,103,102.99,102.99,-0.01,-0.01%,0
4/6/25 23:39,103,103,102.99,103,0,0.00%,0
4/6/25 23:38,103.01,103.01,103,103,-0.01,-0.01%,0
4/6/25 23:37,103,103.01,103,103.01,0.01,0.01%,0
4/6/25 23:36,102.99,103.02,102.99,103,0.01,0.01%,0
4/6/25 23:35,103,103,102.99,102.99,-0.01,-0.01%,0
4/6/25 23:34,103.01,103.01,102.99,103,-0.01,-0.01%,0
4/6/25 23:33,103,103.01,103,103.01,0.01,0.01%,0
4/6/25 23:32,103.02,103.02,103,103,-0.02,-0.02%,0
4/6/25 23:31,103.02,103.02,103.02,103.02,0,0.00%,0
4/6/25 23:30,103.06,103.06,103.02,103.02,-0.04,-0.04%,0
4/6/25 23:29,103.04,103.06,103.04,103.06,0.02,0.02%,0
4/6/25 23:28,103.04,103.04,103.03,103.04,0,0.00%,0
4/6/25 23:27,103.06,103.06,103.04,103.04,-0.02,-0.02%,0
4/6/25 23:26,103.06,103.07,103.06,103.06,0.01,0.01%,0
4/6/25 23:25,103.05,103.06,103.05,103.05,0,0.00%,0
4/6/25 23:24,103.05,103.06,103.05,103.05,0,0.00%,0
4/6/25 23:23,103.04,103.06,103.04,103.05,0.01,0.01%,0
4/6/25 23:22,103.04,103.05,103.04,103.04,0,0.00%,0
4/6/25 23:21,103.05,103.06,103.04,103.04,-0.01,-0.01%,0
4/6/25 23:20,103.07,103.07,103.05,103.05,-0.02,-0.02%,0
4/6/25 23:19,103.07,103.08,103.07,103.07,0,0.00%,0
4/6/25 23:18,103.05,103.07,103.05,103.07,0.02,0.02%,0
4/6/25 23:17,103.07,103.07,103.05,103.05,-0.02,-0.02%,0
4/6/25 23:16,103.08,103.08,103.07,103.07,-0.01,-0.01%,0
4/6/25 23:15,103.08,103.09,103.08,103.08,0,0.00%,0
4/6/25 23:14,103.07,103.08,103.07,103.08,0.01,0.01%,0
4/6/25 23:13,103.09,103.09,103.07,103.07,-0.02,-0.02%,0
4/6/25 23:12,103.06,103.09,103.06,103.09,0.03,0.03%,0
4/6/25 23:11,103.07,103.07,103.06,103.06,-0.01,-0.01%,0
4/6/25 23:10,103.08,103.08,103.06,103.07,-0.01,-0.01%,0
4/6/25 23:09,103.07,103.09,103.07,103.08,0.02,0.02%,0
4/6/25 23:08,103.07,103.08,103.06,103.06,-0.01,-0.01%,0
4/6/25 23:07,103.07,103.07,103.06,103.07,0.01,0.01%,0
4/6/25 23:06,103.07,103.07,103.06,103.06,-0.01,-0.01%,0
4/6/25 23:05,103.09,103.09,103.07,103.07,-0.02,-0.02%,0
4/6/25 23:04,103.1,103.1,103.07,103.09,-0.01,-0.01%,0
4/6/25 23:03,103.13,103.13,103.1,103.1,-0.03,-0.03%,0
4/6/25 23:02,103.13,103.13,103.12,103.13,0,0.00%,0
4/6/25 23:01,103.1,103.13,103.1,103.13,0.03,0.03%,0
4/6/25 23:00,103.1,103.1,103.09,103.1,0,0.00%,0
4/6/25 22:59,103.11,103.11,103.09,103.1,-0.01,-0.01%,0
4/6/25 22:58,103.15,103.15,103.11,103.11,-0.04,-0.04%,0
4/6/25 22:57,103.14,103.16,103.14,103.15,0.01,0.01%,0
4/6/25 22:56,103.14,103.15,103.14,103.14,0,0.00%,0
4/6/25 22:55,103.13,103.14,103.12,103.14,0.01,0.01%,0
4/6/25 22:54,103.13,103.13,103.13,103.13,0,0.00%,0
4/6/25 22:53,103.14,103.15,103.13,103.13,-0.01,-0.01%,0
4/6/25 22:52,103.14,103.16,103.14,103.14,0,0.00%,0
4/6/25 22:51,103.13,103.14,103.12,103.14,0.01,0.01%,0
4/6/25 22:50,103.14,103.14,103.12,103.13,-0.01,-0.01%,0
4/6/25 22:49,103.14,103.14,103.13,103.14,0,0.00%,0
4/6/25 22:48,103.16,103.16,103.14,103.14,-0.02,-0.02%,0
4/6/25 22:47,103.16,103.16,103.15,103.16,0,0.00%,0
4/6/25 22:46,103.18,103.19,103.15,103.16,-0.02,-0.02%,0
4/6/25 22:45,103.16,103.19,103.16,103.18,0.02,0.02%,0
4/6/25 22:44,103.18,103.18,103.16,103.16,-0.02,-0.02%,0
4/6/25 22:43,103.18,103.19,103.18,103.18,0,0.00%,0
4/6/25 22:42,103.17,103.18,103.16,103.18,0.01,0.01%,0
4/6/25 22:41,103.14,103.17,103.14,103.17,0.03,0.03%,0
4/6/25 22:40,103.12,103.15,103.12,103.14,0.02,0.02%,0
4/6/25 22:39,103.12,103.13,103.12,103.12,0.01,0.01%,0
4/6/25 22:38,103.12,103.12,103.1,103.11,-0.01,-0.01%,0
4/6/25 22:37,103.13,103.14,103.12,103.12,-0.01,-0.01%,0
4/6/25 22:36,103.14,103.14,103.13,103.13,-0.01,-0.01%,0
4/6/25 22:35,103.14,103.15,103.13,103.14,0,0.00%,0
4/6/25 22:34,103.12,103.14,103.11,103.14,0.02,0.02%,0
4/6/25 22:33,103.11,103.12,103.1,103.12,0.01,0.01%,0
4/6/25 22:32,103.08,103.11,103.08,103.11,0.02,0.02%,0
4/6/25 22:31,103.08,103.09,103.07,103.09,0.01,0.01%,0
4/6/25 22:30,103.07,103.09,103.07,103.08,0.01,0.01%,0
4/6/25 22:29,103.06,103.07,103.04,103.07,0.01,0.01%,0
4/6/25 22:28,103.06,103.08,103.06,103.06,0,0.00%,0
4/6/25 22:27,103.05,103.06,103.04,103.06,0.01,0.01%,0
4/6/25 22:26,103,103.05,102.99,103.05,0.05,0.05%,0
4/6/25 22:25,102.99,103,102.99,103,0.01,0.01%,0
4/6/25 22:24,102.99,103,102.99,102.99,0,0.00%,0
4/6/25 22:23,102.98,103,102.98,102.99,0.01,0.01%,0
4/6/25 22:22,102.97,102.98,102.96,102.98,0.01,0.01%,0
4/6/25 22:21,102.96,102.97,102.95,102.97,0.01,0.01%,0
4/6/25 22:20,102.96,102.96,102.96,102.96,0,0.00%,0
4/6/25 22:19,102.93,102.96,102.93,102.96,0.03,0.03%,0
4/6/25 22:18,102.92,102.93,102.92,102.93,0.01,0.01%,0
4/6/25 22:17,102.93,102.93,102.92,102.92,-0.01,-0.01%,0
4/6/25 22:16,102.94,102.94,102.93,102.93,-0.01,-0.01%,0
4/6/25 22:15,102.93,102.94,102.92,102.94,0.01,0.01%,0
