Time,Open,High,Low,Latest,Change,%Change,Volume
3/1/26 21:54,97.84,97.84,97.83,97.83,-0.02,-0.02%,0
3/1/26 21:55,97.83,97.84,97.82,97.84,0.01,0.01%,0
3/1/26 21:56,97.84,97.84,97.83,97.83,-0.01,-0.01%,0
3/1/26 21:57,97.83,97.83,97.83,97.83,0,0.00%,0
3/1/26 21:58,97.83,97.83,97.83,97.83,0,0.00%,0
3/1/26 21:59,97.83,97.83,97.83,97.83,0,0.00%,0
3/1/26 22:00,97.83,97.83,97.82,97.82,-0.01,-0.01%,0
3/1/26 22:01,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:02,97.83,97.83,97.82,97.83,0.01,0.01%,0
3/1/26 22:03,97.83,97.83,97.81,97.81,-0.02,-0.02%,0
3/1/26 22:04,97.81,97.81,97.81,97.81,0,0.00%,0
3/1/26 22:05,97.81,97.81,97.8,97.8,-0.01,-0.01%,0
3/1/26 22:06,97.8,97.8,97.79,97.79,-0.01,-0.01%,0
3/1/26 22:07,97.79,97.79,97.79,97.79,0,0.00%,0
3/1/26 22:08,97.79,97.81,97.79,97.8,0.01,0.01%,0
3/1/26 22:09,97.8,97.82,97.8,97.82,0.02,0.02%,0
3/1/26 22:10,97.82,97.83,97.82,97.82,0,0.00%,0
3/1/26 22:11,97.82,97.82,97.81,97.81,-0.01,-0.01%,0
3/1/26 22:12,97.81,97.82,97.81,97.82,0.01,0.01%,0
3/1/26 22:13,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:14,97.82,97.83,97.82,97.82,0,0.00%,0
3/1/26 22:15,97.82,97.82,97.81,97.82,0,0.00%,0
3/1/26 22:16,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:17,97.82,97.82,97.81,97.82,0,0.00%,0
3/1/26 22:18,97.82,97.82,97.81,97.81,-0.01,-0.01%,0
3/1/26 22:19,97.81,97.81,97.81,97.81,0,0.00%,0
3/1/26 22:20,97.81,97.81,97.79,97.8,-0.01,-0.01%,0
3/1/26 22:21,97.8,97.8,97.8,97.8,0,0.00%,0
3/1/26 22:22,97.8,97.8,97.79,97.79,-0.01,-0.01%,0
3/1/26 22:23,97.8,97.8,97.79,97.79,0,0.00%,0
3/1/26 22:24,97.79,97.8,97.79,97.8,0.01,0.01%,0
3/1/26 22:25,97.8,97.8,97.79,97.79,-0.01,-0.01%,0
3/1/26 22:26,97.79,97.79,97.78,97.78,-0.01,-0.01%,0
3/1/26 22:27,97.79,97.79,97.77,97.77,-0.01,-0.01%,0
3/1/26 22:28,97.77,97.78,97.77,97.77,0,0.00%,0
3/1/26 22:29,97.77,97.79,97.77,97.78,0.01,0.01%,0
3/1/26 22:30,97.78,97.78,97.78,97.78,0,0.00%,0
3/1/26 22:31,97.78,97.79,97.78,97.78,0,0.00%,0
3/1/26 22:32,97.78,97.79,97.78,97.79,0.01,0.01%,0
3/1/26 22:33,97.79,97.81,97.79,97.81,0.02,0.02%,0
3/1/26 22:34,97.81,97.81,97.8,97.81,0,0.00%,0
3/1/26 22:35,97.81,97.81,97.8,97.8,-0.01,-0.01%,0
3/1/26 22:36,97.81,97.81,97.81,97.81,0.01,0.01%,0
3/1/26 22:37,97.81,97.82,97.81,97.81,0,0.00%,0
3/1/26 22:38,97.81,97.81,97.8,97.81,0,0.00%,0
3/1/26 22:39,97.81,97.82,97.81,97.81,0,0.00%,0
3/1/26 22:40,97.81,97.82,97.81,97.81,0,0.00%,0
3/1/26 22:41,97.81,97.81,97.8,97.81,0,0.00%,0
3/1/26 22:42,97.8,97.81,97.8,97.81,0,0.00%,0
3/1/26 22:43,97.81,97.81,97.8,97.8,-0.01,-0.01%,0
3/1/26 22:44,97.8,97.8,97.79,97.8,0,0.00%,0
3/1/26 22:45,97.8,97.8,97.79,97.8,0,0.00%,0
3/1/26 22:46,97.8,97.8,97.8,97.8,0,0.00%,0
3/1/26 22:47,97.8,97.8,97.8,97.8,0,0.00%,0
3/1/26 22:48,97.8,97.82,97.8,97.82,0.02,0.02%,0
3/1/26 22:49,97.82,97.82,97.81,97.81,-0.01,-0.01%,0
3/1/26 22:50,97.81,97.81,97.8,97.8,-0.01,-0.01%,0
3/1/26 22:51,97.8,97.82,97.8,97.82,0.02,0.02%,0
3/1/26 22:52,97.82,97.82,97.81,97.81,-0.01,-0.01%,0
3/1/26 22:53,97.81,97.82,97.81,97.82,0.01,0.01%,0
3/1/26 22:54,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:55,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:56,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:57,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:58,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 22:59,97.83,97.83,97.83,97.83,0.01,0.01%,0
3/1/26 23:00,97.83,97.83,97.82,97.83,0,0.00%,0
3/1/26 23:01,97.83,97.83,97.82,97.83,0,0.00%,0
3/1/26 23:02,97.83,97.83,97.82,97.82,-0.01,-0.01%,0
3/1/26 23:03,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 23:04,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 23:05,97.82,97.82,97.82,97.82,0,0.00%,0
3/1/26 23:06,97.82,97.83,97.82,97.83,0.01,0.01%,0
3/1/26 23:07,97.83,97.84,97.83,97.84,0.01,0.01%,0
3/1/26 23:08,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:09,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:10,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:11,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:12,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:13,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:14,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:15,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:16,97.84,97.84,97.84,97.84,0,0.00%,0
3/1/26 23:17,97.84,97.84,97.83,97.84,0,0.00%,0
3/1/26 23:18,97.84,97.84,97.83,97.84,0,0.00%,0
3/1/26 23:19,97.84,97.86,97.83,97.86,0.02,0.02%,0
3/1/26 23:20,97.86,97.87,97.86,97.86,0,0.00%,0
3/1/26 23:21,97.86,97.86,97.85,97.86,0,0.00%,0
3/1/26 23:22,97.86,97.87,97.86,97.87,0.01,0.01%,0
3/1/26 23:23,97.87,97.88,97.87,97.88,0.01,0.01%,0
3/1/26 23:24,97.88,97.88,97.87,97.87,-0.01,-0.01%,0
3/1/26 23:25,97.87,97.87,97.87,97.87,0,0.00%,0
3/1/26 23:26,97.87,97.87,97.86,97.87,0,0.00%,0
3/1/26 23:27,97.87,97.87,97.86,97.86,-0.01,-0.01%,0
3/1/26 23:28,97.86,97.86,97.86,97.86,0,0.00%,0
3/1/26 23:29,97.86,97.86,97.85,97.86,0,0.00%,0
3/1/26 23:30,97.86,97.86,97.86,97.86,0,0.00%,0
3/1/26 23:31,97.86,97.86,97.85,97.85,-0.01,-0.01%,0
3/1/26 23:32,97.85,97.87,97.85,97.86,0.01,0.01%,0
3/1/26 23:33,97.86,97.86,97.86,97.86,0,0.00%,0
3/1/26 23:34,97.86,97.86,97.86,97.86,0,0.00%,0
