Time,Open,High,Low,Latest,Change,%Change,Volume
2025-11-30 23:59,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:58,99.44,99.44,99.43,99.44,0.0,0.00%,0.0
2025-11-30 23:57,99.43,99.44,99.43,99.44,0.01,+0.01%,0.0
2025-11-30 23:56,99.44,99.44,99.43,99.43,-0.01,-0.01%,0.0
2025-11-30 23:55,99.44,99.44,99.44,99.44,0.01,+0.01%,0.0
2025-11-30 23:54,99.44,99.44,99.43,99.43,-0.01,-0.01%,0.0
2025-11-30 23:53,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:52,99.43,99.44,99.43,99.44,0.0,0.00%,0.0
2025-11-30 23:51,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:50,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:49,99.44,99.45,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:48,99.44,99.44,99.43,99.44,0.0,0.00%,0.0
2025-11-30 23:47,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:46,99.44,99.44,99.43,99.44,0.0,0.00%,0.0
2025-11-30 23:45,99.43,99.44,99.43,99.44,0.01,+0.01%,0.0
2025-11-30 23:44,99.43,99.43,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:43,99.43,99.43,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:42,99.42,99.43,99.42,99.43,0.01,+0.01%,0.0
2025-11-30 23:41,99.4,99.42,99.4,99.42,0.02,+0.02%,0.0
2025-11-30 23:40,99.4,99.4,99.4,99.4,0.0,0.00%,0.0
2025-11-30 23:39,99.41,99.41,99.4,99.4,-0.01,-0.01%,0.0
2025-11-30 23:38,99.42,99.42,99.41,99.41,-0.01,-0.01%,0.0
2025-11-30 23:37,99.42,99.42,99.41,99.42,0.0,0.00%,0.0
2025-11-30 23:36,99.42,99.42,99.41,99.42,0.0,0.00%,0.0
2025-11-30 23:35,99.42,99.42,99.42,99.42,0.0,0.00%,0.0
2025-11-30 23:34,99.42,99.42,99.42,99.42,0.0,0.00%,0.0
2025-11-30 23:33,99.42,99.42,99.42,99.42,0.0,0.00%,0.0
2025-11-30 23:32,99.42,99.42,99.42,99.42,0.0,0.00%,0.0
2025-11-30 23:31,99.42,99.43,99.42,99.42,0.0,0.00%,0.0
2025-11-30 23:30,99.43,99.43,99.42,99.42,-0.01,-0.01%,0.0
2025-11-30 23:29,99.43,99.43,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:28,99.43,99.43,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:27,99.43,99.43,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:26,99.43,99.43,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:25,99.43,99.44,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:24,99.44,99.44,99.43,99.43,0.0,0.00%,0.0
2025-11-30 23:23,99.44,99.44,99.43,99.43,-0.01,-0.01%,0.0
2025-11-30 23:22,99.44,99.45,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:21,99.45,99.45,99.44,99.44,-0.01,-0.01%,0.0
2025-11-30 23:20,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 23:19,99.45,99.46,99.45,99.45,0.0,0.00%,0.0
2025-11-30 23:18,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 23:17,99.44,99.45,99.44,99.45,0.01,+0.01%,0.0
2025-11-30 23:16,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:15,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:14,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:13,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:12,99.43,99.44,99.43,99.44,0.0,0.00%,0.0
2025-11-30 23:11,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:10,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:09,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:08,99.44,99.45,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:07,99.45,99.45,99.44,99.44,-0.01,-0.01%,0.0
2025-11-30 23:06,99.45,99.46,99.45,99.45,0.0,0.00%,0.0
2025-11-30 23:05,99.46,99.46,99.45,99.45,0.0,0.00%,0.0
2025-11-30 23:04,99.45,99.46,99.45,99.45,0.0,0.00%,0.0
2025-11-30 23:03,99.44,99.45,99.44,99.45,0.01,+0.01%,0.0
2025-11-30 23:02,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:01,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 23:00,99.44,99.44,99.43,99.44,0.0,0.00%,0.0
2025-11-30 22:59,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:58,99.44,99.45,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:57,99.44,99.45,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:56,99.43,99.44,99.43,99.44,0.01,+0.01%,0.0
2025-11-30 22:55,99.44,99.44,99.43,99.43,-0.01,-0.01%,0.0
2025-11-30 22:54,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:53,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:52,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:51,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:50,99.45,99.45,99.44,99.44,-0.02,-0.02%,0.0
2025-11-30 22:49,99.46,99.46,99.45,99.46,0.0,0.00%,0.0
2025-11-30 22:48,99.45,99.46,99.45,99.46,0.01,+0.01%,0.0
2025-11-30 22:47,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:46,99.44,99.46,99.44,99.45,0.01,+0.01%,0.0
2025-11-30 22:45,99.44,99.45,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:44,99.44,99.45,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:43,99.44,99.44,99.44,99.44,0.0,0.00%,0.0
2025-11-30 22:42,99.45,99.45,99.44,99.44,-0.01,-0.01%,0.0
2025-11-30 22:41,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:40,99.46,99.46,99.45,99.45,-0.01,-0.01%,0.0
2025-11-30 22:39,99.45,99.46,99.45,99.46,0.01,+0.01%,0.0
2025-11-30 22:38,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:37,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:36,99.44,99.45,99.44,99.45,0.01,+0.01%,0.0
2025-11-30 22:35,99.44,99.45,99.44,99.44,-0.01,-0.01%,0.0
2025-11-30 22:34,99.45,99.45,99.44,99.45,0.0,0.00%,0.0
2025-11-30 22:33,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:32,99.45,99.45,99.44,99.45,0.0,0.00%,0.0
2025-11-30 22:31,99.45,99.45,99.44,99.45,0.0,0.00%,0.0
2025-11-30 22:30,99.45,99.45,99.44,99.45,0.0,0.00%,0.0
2025-11-30 22:29,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:28,99.45,99.45,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:27,99.46,99.46,99.45,99.45,-0.01,-0.01%,0.0
2025-11-30 22:26,99.46,99.46,99.46,99.46,0.0,0.00%,0.0
2025-11-30 22:25,99.46,99.46,99.45,99.46,0.0,0.00%,0.0
2025-11-30 22:24,99.45,99.46,99.45,99.46,0.0,0.00%,0.0
2025-11-30 22:23,99.45,99.46,99.45,99.46,0.01,+0.01%,0.0
2025-11-30 22:22,99.45,99.46,99.45,99.45,0.0,0.00%,0.0
2025-11-30 22:21,99.46,99.46,99.45,99.45,-0.01,-0.01%,0.0
2025-11-30 22:20,99.46,99.46,99.46,99.46,0.0,0.00%,0.0
2025-11-30 22:19,99.46,99.46,99.46,99.46,0.0,0.00%,0.0
2025-11-30 22:18,99.47,99.47,99.46,99.46,-0.01,-0.01%,0.0
2025-11-30 22:17,99.47,99.47,99.46,99.47,0.0,0.00%,0.0
2025-11-30 22:16,99.48,99.48,99.47,99.47,-0.01,-0.01%,0.0
2025-11-30 22:15,99.48,99.48,99.48,99.48,0.0,0.00%,0.0
2025-11-30 22:14,99.48,99.48,99.48,99.48,0.0,0.00%,0.0
2025-11-30 22:13,99.49,99.49,99.47,99.48,-0.01,-0.01%,0.0
2025-11-30 22:12,99.49,99.49,99.49,99.49,0.0,0.00%,0.0
2025-11-30 22:11,99.49,99.49,99.49,99.49,0.0,0.00%,0.0
2025-11-30 22:10,99.49,99.49,99.49,99.49,0.0,0.00%,0.0
2025-11-30 22:09,99.49,99.49,99.49,99.49,0.0,0.00%,0.0
2025-11-30 22:08,99.49,99.49,99.48,99.49,0.0,0.00%,0.0
2025-11-30 22:07,99.48,99.49,99.48,99.49,0.0,0.00%,0.0
2025-11-30 22:06,99.5,99.5,99.49,99.49,0.0,0.00%,0.0
2025-11-30 22:05,99.48,99.5,99.48,99.49,0.01,+0.01%,0.0
2025-11-30 22:04,99.48,99.48,99.48,99.48,0.0,0.00%,0.0
2025-11-30 22:03,99.46,99.48,99.46,99.48,0.02,+0.02%,0.0
