Time,Open,High,Low,Latest,Change,%Change,Volume
4/12/24 16:59,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:58,106.02,106.02,106.01,106.01,-0.01,-0.01%,0
4/12/24 16:57,106.02,106.02,106.02,106.02,0,0.00%,0
4/12/24 16:56,106.02,106.02,106.02,106.02,0,0.00%,0
4/12/24 16:55,106.01,106.02,106.01,106.02,0.01,0.01%,0
4/12/24 16:54,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:53,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:52,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:51,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:50,106,106.01,106,106.01,0.01,0.01%,0
4/12/24 16:49,106.01,106.01,106,106,-0.01,-0.01%,0
4/12/24 16:48,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:47,106.01,106.01,106,106.01,0,0.00%,0
4/12/24 16:46,106.01,106.01,106,106.01,0,0.00%,0
4/12/24 16:45,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:44,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:43,106,106.01,106,106.01,0.01,0.01%,0
4/12/24 16:42,106,106,106,106,0,0.00%,0
4/12/24 16:41,106,106,106,106,0,0.00%,0
4/12/24 16:40,106.01,106.01,106,106,-0.01,-0.01%,0
4/12/24 16:39,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:38,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:37,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:36,106.02,106.02,106.01,106.01,-0.01,-0.01%,0
4/12/24 16:35,106.01,106.02,106.01,106.02,0.01,0.01%,0
4/12/24 16:34,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:33,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:32,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:31,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:30,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:29,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:28,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:27,106.02,106.02,106.01,106.01,-0.01,-0.01%,0
4/12/24 16:26,106.01,106.02,106.01,106.02,0.01,0.01%,0
4/12/24 16:25,106.02,106.02,106.01,106.01,-0.01,-0.01%,0
4/12/24 16:24,106.01,106.02,106.01,106.02,0.01,0.01%,0
4/12/24 16:23,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:22,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:21,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:20,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:19,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:18,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:17,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:16,106,106.01,106,106.01,0.01,0.01%,0
4/12/24 16:15,106,106,106,106,0,0.00%,0
4/12/24 16:14,106,106,106,106,0,0.00%,0
4/12/24 16:13,106.01,106.01,106,106,-0.01,-0.01%,0
4/12/24 16:12,106.01,106.01,106.01,106.01,0,0.00%,0
4/12/24 16:11,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:10,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:09,106.01,106.02,106.01,106.01,0,0.00%,0
4/12/24 16:08,106.02,106.02,106.01,106.01,-0.01,-0.01%,0
4/12/24 16:07,106.02,106.02,106.02,106.02,0,0.00%,0
4/12/24 16:06,106.03,106.03,106.02,106.02,-0.01,-0.01%,0
