Time,Open,High,Low,Latest,Change,%Change,Volume
4/25/25 16:59,99.6,99.6,99.59,99.59,-0.01,-0.01%,0
4/25/25 16:58,99.61,99.61,99.6,99.6,-0.01,-0.01%,0
4/25/25 16:57,99.62,99.62,99.61,99.61,-0.01,-0.01%,0
4/25/25 16:56,99.61,99.62,99.61,99.62,0.01,0.01%,0
4/25/25 16:55,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:54,99.61,99.62,99.61,99.61,0,0.00%,0
4/25/25 16:53,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:52,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:51,99.61,99.62,99.61,99.61,0,0.00%,0
4/25/25 16:50,99.63,99.63,99.61,99.61,-0.02,-0.02%,0
4/25/25 16:49,99.62,99.63,99.62,99.63,0.01,0.01%,0
4/25/25 16:48,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:47,99.61,99.62,99.61,99.62,0.01,0.01%,0
4/25/25 16:46,99.6,99.62,99.6,99.61,0.01,0.01%,0
4/25/25 16:45,99.6,99.61,99.6,99.6,0,0.00%,0
4/25/25 16:44,99.6,99.61,99.6,99.6,0,0.00%,0
4/25/25 16:43,99.6,99.6,99.59,99.6,0.01,0.01%,0
4/25/25 16:42,99.59,99.59,99.59,99.59,0,0.00%,0
4/25/25 16:41,99.59,99.6,99.59,99.59,0,0.00%,0
4/25/25 16:40,99.6,99.6,99.59,99.59,-0.01,-0.01%,0
4/25/25 16:39,99.61,99.61,99.6,99.6,-0.01,-0.01%,0
4/25/25 16:38,99.61,99.61,99.61,99.61,-0.01,-0.01%,0
4/25/25 16:37,99.62,99.63,99.62,99.62,0,0.00%,0
4/25/25 16:36,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:35,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:34,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:33,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:32,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:31,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:30,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:29,99.61,99.62,99.61,99.62,0.01,0.01%,0
4/25/25 16:28,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:27,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:26,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:25,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:24,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:23,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:22,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:21,99.62,99.62,99.61,99.61,-0.01,-0.01%,0
4/25/25 16:20,99.62,99.62,99.61,99.62,0,0.00%,0
4/25/25 16:19,99.62,99.62,99.61,99.62,0,0.00%,0
4/25/25 16:18,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:17,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:16,99.62,99.62,99.62,99.62,0,0.00%,0
4/25/25 16:15,99.62,99.62,99.62,99.62,0.01,0.01%,0
4/25/25 16:14,99.61,99.61,99.61,99.61,0,0.00%,0
4/25/25 16:13,99.6,99.61,99.6,99.61,0.01,0.01%,0
4/25/25 16:12,99.6,99.6,99.6,99.6,0,0.00%,0
4/25/25 16:11,99.59,99.6,99.59,99.6,0.02,0.02%,0
4/25/25 16:10,99.58,99.59,99.58,99.58,0,0.00%,0
