Time,Open,High,Low,Latest,Change,%Change,Volume
2/9/26 23:59,96.85,96.86,96.85,96.86,0.01,0.01%,0
2/9/26 23:58,96.85,96.85,96.84,96.85,0,0.00%,0
2/9/26 23:57,96.85,96.85,96.85,96.85,0,0.00%,0
2/9/26 23:56,96.84,96.85,96.84,96.85,0.01,0.01%,0
2/9/26 23:55,96.84,96.84,96.84,96.84,0,0.00%,0
2/9/26 23:54,96.85,96.85,96.84,96.84,-0.01,-0.01%,0
2/9/26 23:53,96.85,96.85,96.85,96.85,0,0.00%,0
2/9/26 23:52,96.85,96.85,96.85,96.85,0,0.00%,0
2/9/26 23:51,96.85,96.85,96.85,96.85,0,0.00%,0
2/9/26 23:50,96.85,96.86,96.85,96.85,0,0.00%,0
2/9/26 23:49,96.85,96.85,96.85,96.85,0,0.00%,0
2/9/26 23:48,96.86,96.86,96.85,96.85,-0.01,-0.01%,0
2/9/26 23:47,96.85,96.86,96.85,96.86,0.01,0.01%,0
2/9/26 23:46,96.85,96.85,96.85,96.85,0,0.00%,0
2/9/26 23:45,96.84,96.85,96.84,96.85,0.01,0.01%,0
2/9/26 23:44,96.84,96.85,96.84,96.84,0,0.00%,0
2/9/26 23:43,96.84,96.84,96.84,96.84,0,0.00%,0
2/9/26 23:42,96.85,96.85,96.84,96.84,-0.01,-0.01%,0
2/9/26 23:41,96.85,96.85,96.85,96.85,-0.01,-0.01%,0
2/9/26 23:40,96.86,96.86,96.85,96.86,0,0.00%,0
2/9/26 23:39,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:38,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:37,96.87,96.87,96.86,96.86,-0.01,-0.01%,0
2/9/26 23:36,96.87,96.87,96.86,96.87,0,0.00%,0
2/9/26 23:35,96.86,96.87,96.86,96.87,0.01,0.01%,0
2/9/26 23:34,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:33,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:32,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:31,96.87,96.87,96.86,96.86,-0.01,-0.01%,0
2/9/26 23:30,96.86,96.87,96.86,96.87,0.01,0.01%,0
2/9/26 23:29,96.86,96.87,96.86,96.86,0,0.00%,0
2/9/26 23:28,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:27,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:26,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:25,96.86,96.87,96.86,96.86,0,0.00%,0
2/9/26 23:24,96.86,96.86,96.85,96.86,0,0.00%,0
2/9/26 23:23,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:22,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:21,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:20,96.86,96.86,96.86,96.86,0,0.00%,0
2/9/26 23:19,96.85,96.86,96.85,96.86,0.01,0.01%,0
2/9/26 23:18,96.84,96.85,96.84,96.85,0.01,0.01%,0
2/9/26 23:17,96.85,96.85,96.84,96.84,-0.01,-0.01%,0
2/9/26 23:16,96.85,96.85,96.84,96.85,0,0.00%,0
2/9/26 23:15,96.84,96.85,96.84,96.85,0.01,0.01%,0
2/9/26 23:14,96.84,96.84,96.84,96.84,0,0.00%,0
2/9/26 23:13,96.84,96.85,96.84,96.84,0,0.00%,0
2/9/26 23:12,96.85,96.85,96.84,96.84,0,0.00%,0
2/9/26 23:11,96.84,96.85,96.84,96.84,-0.01,-0.01%,0
2/9/26 23:10,96.85,96.85,96.84,96.85,0,0.00%,0
2/9/26 23:09,96.85,96.85,96.84,96.85,0,0.00%,0
2/9/26 23:08,96.85,96.85,96.85,96.85,0,0.00%,0
2/9/26 23:07,96.84,96.85,96.84,96.85,0.01,0.01%,0
2/9/26 23:06,96.84,96.84,96.84,96.84,0,0.00%,0
2/9/26 23:05,96.84,96.84,96.84,96.84,0,0.00%,0
2/9/26 23:04,96.84,96.84,96.84,96.84,0,0.00%,0
2/9/26 23:03,96.84,96.84,96.83,96.84,0,0.00%,0
2/9/26 23:02,96.83,96.84,96.82,96.84,0.01,0.01%,0
2/9/26 23:01,96.83,96.83,96.83,96.83,0,0.00%,0
2/9/26 23:00,96.84,96.84,96.83,96.83,-0.01,-0.01%,0
2/9/26 22:59,96.84,96.84,96.83,96.84,0,0.00%,0
2/9/26 22:58,96.83,96.84,96.83,96.84,0.01,0.01%,0
2/9/26 22:57,96.82,96.83,96.82,96.83,0.01,0.01%,0
2/9/26 22:56,96.82,96.82,96.82,96.82,0,0.00%,0
2/9/26 22:55,96.81,96.82,96.81,96.82,0.01,0.01%,0
2/9/26 22:54,96.81,96.81,96.81,96.81,0,0.00%,0
2/9/26 22:53,96.8,96.81,96.8,96.81,0.01,0.01%,0
2/9/26 22:52,96.79,96.8,96.79,96.8,0.01,0.01%,0
2/9/26 22:51,96.8,96.8,96.79,96.79,-0.01,-0.01%,0
2/9/26 22:50,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:49,96.79,96.8,96.79,96.8,0.01,0.01%,0
2/9/26 22:48,96.8,96.8,96.79,96.79,-0.01,-0.01%,0
2/9/26 22:47,96.79,96.8,96.79,96.8,0.01,0.01%,0
2/9/26 22:46,96.8,96.8,96.79,96.79,-0.01,-0.01%,0
2/9/26 22:45,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:44,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:43,96.81,96.81,96.8,96.8,0,0.00%,0
2/9/26 22:42,96.79,96.8,96.79,96.8,0.01,0.01%,0
2/9/26 22:41,96.8,96.8,96.79,96.79,-0.01,-0.01%,0
2/9/26 22:40,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:39,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:38,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:37,96.8,96.81,96.8,96.8,0,0.00%,0
2/9/26 22:36,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:35,96.8,96.8,96.8,96.8,0,0.00%,0
2/9/26 22:34,96.81,96.81,96.8,96.8,-0.01,-0.01%,0
2/9/26 22:33,96.81,96.81,96.8,96.81,0,0.00%,0
2/9/26 22:32,96.82,96.82,96.81,96.81,-0.01,-0.01%,0
2/9/26 22:31,96.82,96.82,96.81,96.82,0,0.00%,0
2/9/26 22:30,96.84,96.84,96.82,96.82,-0.02,-0.02%,0
2/9/26 22:29,96.82,96.84,96.82,96.84,0.02,0.02%,0
