Time,Open,High,Low,Latest,Change,%Change,Volume
8/3/25 23:59,98.75,98.75,98.75,98.75,0,0.00%,0
8/3/25 23:58,98.75,98.75,98.75,98.75,0,0.00%,0
8/3/25 23:57,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:56,98.73,98.74,98.73,98.74,0.01,0.01%,0
8/3/25 23:55,98.74,98.74,98.72,98.73,-0.01,-0.01%,0
8/3/25 23:54,98.74,98.74,98.74,98.74,0,0.00%,0
8/3/25 23:53,98.73,98.74,98.73,98.74,0.01,0.01%,0
8/3/25 23:52,98.75,98.75,98.73,98.73,-0.02,-0.02%,0
8/3/25 23:51,98.75,98.75,98.74,98.75,0,0.00%,0
8/3/25 23:50,98.75,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:49,98.74,98.75,98.74,98.74,0,0.00%,0
8/3/25 23:48,98.75,98.75,98.74,98.74,-0.01,-0.01%,0
8/3/25 23:47,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:46,98.75,98.75,98.74,98.74,-0.01,-0.01%,0
8/3/25 23:45,98.76,98.76,98.75,98.75,-0.01,-0.01%,0
8/3/25 23:44,98.76,98.76,98.76,98.76,0,0.00%,0
8/3/25 23:43,98.75,98.76,98.75,98.76,0.01,0.01%,0
8/3/25 23:42,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:41,98.74,98.74,98.74,98.74,0,0.00%,0
8/3/25 23:40,98.74,98.74,98.74,98.74,0,0.00%,0
8/3/25 23:39,98.74,98.75,98.74,98.74,0,0.00%,0
8/3/25 23:38,98.75,98.75,98.74,98.74,-0.01,-0.01%,0
8/3/25 23:37,98.75,98.75,98.75,98.75,0,0.00%,0
8/3/25 23:36,98.75,98.75,98.75,98.75,0,0.00%,0
8/3/25 23:35,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:34,98.75,98.75,98.74,98.74,-0.01,-0.01%,0
8/3/25 23:33,98.76,98.76,98.75,98.75,-0.01,-0.01%,0
8/3/25 23:32,98.75,98.76,98.75,98.76,0.01,0.01%,0
8/3/25 23:31,98.73,98.75,98.73,98.75,0.02,0.02%,0
8/3/25 23:30,98.73,98.74,98.73,98.73,0,0.00%,0
8/3/25 23:29,98.75,98.75,98.73,98.73,-0.02,-0.02%,0
8/3/25 23:28,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:27,98.74,98.74,98.74,98.74,0,0.00%,0
8/3/25 23:26,98.75,98.75,98.74,98.74,-0.01,-0.01%,0
8/3/25 23:25,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:24,98.74,98.74,98.74,98.74,0,0.00%,0
8/3/25 23:23,98.75,98.75,98.73,98.74,-0.01,-0.01%,0
8/3/25 23:22,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:21,98.75,98.75,98.74,98.74,-0.01,-0.01%,0
8/3/25 23:20,98.74,98.75,98.74,98.75,0.01,0.01%,0
8/3/25 23:19,98.74,98.74,98.74,98.74,0,0.00%,0
8/3/25 23:18,98.72,98.74,98.72,98.74,0.02,0.02%,0
8/3/25 23:17,98.71,98.72,98.71,98.72,0.01,0.01%,0
8/3/25 23:16,98.71,98.71,98.71,98.71,0,0.00%,0
8/3/25 23:15,98.71,98.72,98.71,98.71,0,0.00%,0
8/3/25 23:14,98.7,98.71,98.7,98.71,0,0.00%,0
8/3/25 23:13,98.72,98.72,98.71,98.71,-0.01,-0.01%,0
8/3/25 23:12,98.71,98.72,98.71,98.72,0.01,0.01%,0
8/3/25 23:11,98.73,98.73,98.71,98.71,-0.02,-0.02%,0
8/3/25 23:10,98.73,98.73,98.72,98.73,0,0.00%,0
8/3/25 23:09,98.73,98.73,98.73,98.73,0,0.00%,0
8/3/25 23:08,98.73,98.74,98.72,98.73,0,0.00%,0
