Time,Open,High,Low,Latest,Change,%Change,Volume
2025-11-11 23:59,99.61,99.61,99.6,99.61,0.0,0.00%,0.0
2025-11-11 23:58,99.6,99.61,99.6,99.61,0.01,+0.01%,0.0
2025-11-11 23:57,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:56,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:55,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:54,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:53,99.6,99.6,99.6,99.6,-0.01,-0.01%,0.0
2025-11-11 23:52,99.61,99.61,99.6,99.61,0.0,0.00%,0.0
2025-11-11 23:51,99.61,99.61,99.6,99.61,0.0,0.00%,0.0
2025-11-11 23:50,99.6,99.61,99.6,99.61,0.0,0.00%,0.0
2025-11-11 23:49,99.61,99.61,99.61,99.61,0.0,0.00%,0.0
2025-11-11 23:48,99.61,99.61,99.61,99.61,0.0,0.00%,0.0
2025-11-11 23:47,99.6,99.61,99.6,99.61,0.01,+0.01%,0.0
2025-11-11 23:46,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:45,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:44,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:43,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:42,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:41,99.61,99.61,99.6,99.6,-0.01,-0.01%,0.0
2025-11-11 23:40,99.6,99.61,99.6,99.61,0.01,+0.01%,0.0
2025-11-11 23:39,99.6,99.6,99.6,99.6,0.0,0.00%,0.0
2025-11-11 23:38,99.59,99.6,99.59,99.6,0.01,+0.01%,0.0
2025-11-11 23:37,99.58,99.59,99.58,99.59,0.01,+0.01%,0.0
2025-11-11 23:36,99.58,99.58,99.58,99.58,0.0,0.00%,0.0
2025-11-11 23:35,99.59,99.59,99.58,99.58,-0.01,-0.01%,0.0
2025-11-11 23:34,99.59,99.59,99.59,99.59,0.01,+0.01%,0.0
2025-11-11 23:33,99.58,99.58,99.58,99.58,0.0,0.00%,0.0
2025-11-11 23:32,99.58,99.58,99.57,99.58,0.0,0.00%,0.0
2025-11-11 23:31,99.57,99.58,99.57,99.58,0.01,+0.01%,0.0
2025-11-11 23:30,99.58,99.58,99.57,99.57,-0.01,-0.01%,0.0
2025-11-11 23:29,99.58,99.58,99.58,99.58,0.0,0.00%,0.0
2025-11-11 23:28,99.58,99.59,99.58,99.58,0.0,0.00%,0.0
2025-11-11 23:27,99.58,99.59,99.58,99.58,0.0,0.00%,0.0
