Time,Open,High,Low,Latest,Change,%Change,Volume
2025-10-01 23:59,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:58,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:57,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:56,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:55,97.72,97.72,97.71,97.71,-0.01,-0.01%,0.0
2025-10-01 23:54,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:53,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:52,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:51,97.71,97.72,97.71,97.72,0.01,+0.01%,0.0
2025-10-01 23:50,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:49,97.72,97.72,97.71,97.71,-0.01,-0.01%,0.0
2025-10-01 23:48,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:47,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:46,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:45,97.73,97.73,97.72,97.72,-0.01,-0.01%,0.0
2025-10-01 23:44,97.72,97.73,97.72,97.73,0.01,+0.01%,0.0
2025-10-01 23:43,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:42,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:41,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:40,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:39,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:38,97.72,97.73,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:37,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:36,97.72,97.72,97.72,97.72,0.0,0.00%,0.0
2025-10-01 23:35,97.71,97.73,97.71,97.72,0.01,+0.01%,0.0
2025-10-01 23:34,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:33,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:32,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:31,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
2025-10-01 23:30,97.71,97.71,97.71,97.71,0.0,0.00%,0.0
