Time,Open,High,Low,Latest,Change,%Change,Volume
3/20/20 14:02,101.94,101.94,101.94,101.94,0,0.00%,0
3/20/20 14:01,101.94,101.94,101.94,101.94,0,0.00%,0
3/20/20 14:00,102,102,101.9,101.94,-0.06,-0.06%,0
3/20/20 13:59,102,102,102,102,0,0.00%,0
3/20/20 13:56,102,102,102,102,0,0.00%,0
3/20/20 13:55,102,102,102,102,0,0.00%,0
3/20/20 13:54,102,102,102,102,0,0.00%,0
3/20/20 13:53,102,102,102,102,0,0.00%,0
3/20/20 13:52,102,102,102,102,0,0.00%,0
3/20/20 13:51,102,102,102,102,0,0.00%,0
3/20/20 13:50,102,102,102,102,0,0.00%,0
3/20/20 13:49,102,102,102,102,0,0.00%,0
3/20/20 13:48,102,102,102,102,0,0.00%,0
3/20/20 13:47,102,102,102,102,0,0.00%,0
3/20/20 13:45,102,102,102,102,-0.05,-0.05%,0
3/20/20 13:37,102.05,102.05,102.05,102.05,0,0.00%,0
3/20/20 13:36,102.05,102.05,102.05,102.05,0,0.00%,0
3/20/20 13:35,102.05,102.05,102.05,102.05,0,0.00%,0
3/20/20 13:32,102.06,102.06,102.05,102.05,-0.3,-0.29%,0
3/20/20 13:31,102.38,102.38,102.06,102.35,0.13,0.13%,0
3/20/20 13:30,102.22,102.22,102.22,102.22,-0.01,-0.01%,0
3/20/20 13:29,102.22,102.23,102.22,102.23,-0.13,-0.13%,0
3/20/20 13:28,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:27,102.35,102.36,102.35,102.36,0.01,0.01%,0
3/20/20 13:25,102.35,102.35,102.35,102.35,0,0.00%,0
3/20/20 13:24,102.35,102.35,102.35,102.35,-0.01,-0.01%,0
3/20/20 13:23,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:22,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:21,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:20,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:19,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:18,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:17,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:16,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:13,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:12,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:11,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:10,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:09,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:08,102.36,102.36,102.36,102.36,0,0.00%,0
3/20/20 13:07,102.37,102.37,102.36,102.36,-0.01,-0.01%,0
3/20/20 13:05,102.37,102.37,102.37,102.37,0,0.00%,0
3/20/20 13:04,102.37,102.37,102.37,102.37,0,0.00%,0
3/20/20 13:03,102.37,102.37,102.37,102.37,0,0.00%,0
3/20/20 13:02,102.37,102.37,102.37,102.37,0,0.00%,0
3/20/20 13:01,102.38,102.38,102.37,102.37,-0.01,-0.01%,0
3/20/20 13:00,102.38,102.39,102.38,102.38,-0.01,-0.01%,0
3/20/20 12:59,102.37,102.39,102.36,102.39,0.03,0.03%,0
3/20/20 12:58,102.35,102.36,102.34,102.36,0.02,0.02%,0
3/20/20 12:57,102.36,102.4,102.32,102.34,-0.02,-0.02%,0
3/20/20 12:56,102.37,102.38,102.36,102.36,-0.01,-0.01%,0
3/20/20 12:55,102.43,102.43,102.37,102.37,-0.06,-0.06%,0
3/20/20 12:54,102.43,102.44,102.43,102.43,0,0.00%,0
3/20/20 12:53,102.43,102.43,102.42,102.43,0,0.00%,0
3/20/20 12:52,102.46,102.46,102.43,102.43,-0.03,-0.03%,0
3/20/20 12:51,102.45,102.46,102.44,102.46,0,0.00%,0
3/20/20 12:50,102.44,102.46,102.44,102.46,0.02,0.02%,0
3/20/20 12:49,102.43,102.44,102.43,102.44,0.01,0.01%,0
3/20/20 12:48,102.42,102.43,102.42,102.43,0.01,0.01%,0
3/20/20 12:47,102.43,102.43,102.42,102.42,-0.01,-0.01%,0
3/20/20 12:46,102.43,102.43,102.43,102.43,0,0.00%,0
3/20/20 12:45,102.45,102.45,102.43,102.43,-0.02,-0.02%,0
3/20/20 12:44,102.47,102.47,102.44,102.45,-0.02,-0.02%,0
3/20/20 12:43,102.5,102.5,102.47,102.47,-0.03,-0.03%,0
3/20/20 12:42,102.5,102.51,102.49,102.5,0,0.00%,0
3/20/20 12:41,102.49,102.5,102.48,102.5,0.01,0.01%,0
3/20/20 12:40,102.5,102.51,102.49,102.49,-0.01,-0.01%,0
3/20/20 12:39,102.55,102.55,102.5,102.5,-0.05,-0.05%,0
3/20/20 12:38,102.57,102.57,102.55,102.55,-0.02,-0.02%,0
3/20/20 12:37,102.56,102.58,102.55,102.57,0.01,0.01%,0
3/20/20 12:36,102.59,102.59,102.56,102.56,-0.03,-0.03%,0
3/20/20 12:35,102.6,102.6,102.59,102.59,-0.01,-0.01%,0
3/20/20 12:34,102.6,102.62,102.6,102.6,0,0.00%,0
3/20/20 12:33,102.67,102.67,102.6,102.6,-0.07,-0.07%,0
3/20/20 12:32,102.72,102.72,102.67,102.67,-0.05,-0.05%,0
3/20/20 12:31,102.73,102.73,102.72,102.72,-0.01,-0.01%,0
3/20/20 12:30,102.76,102.76,102.73,102.73,-0.03,-0.03%,0
3/20/20 12:29,102.76,102.77,102.76,102.76,0,0.00%,0
3/20/20 12:28,102.77,102.77,102.76,102.76,-0.01,-0.01%,0
3/20/20 12:27,102.77,102.78,102.77,102.77,-0.01,-0.01%,0
3/20/20 12:26,102.78,102.78,102.78,102.78,0,0.00%,0
3/20/20 12:25,102.75,102.78,102.75,102.78,0.03,0.03%,0
3/20/20 12:24,102.73,102.75,102.73,102.75,0.02,0.02%,0
3/20/20 12:23,102.75,102.75,102.73,102.73,-0.02,-0.02%,0
3/20/20 12:22,102.75,102.75,102.75,102.75,0,0.00%,0
3/20/20 12:21,102.74,102.75,102.73,102.75,0.01,0.01%,0
3/20/20 12:20,102.72,102.74,102.72,102.74,0.02,0.02%,0
3/20/20 12:19,102.73,102.73,102.71,102.72,-0.02,-0.02%,0
3/20/20 12:18,102.71,102.74,102.71,102.74,0.03,0.03%,0
3/20/20 12:17,102.72,102.74,102.71,102.71,-0.01,-0.01%,0
3/20/20 12:16,102.69,102.73,102.69,102.72,0.02,0.02%,0
3/20/20 12:15,102.68,102.7,102.66,102.7,0.02,0.02%,0
